userId,title,rating
1,Single-arm palm-in dumbbell shoulder press,3.3
1,Split Jump,1.6
1,Quadriceps SMR,1.6
1,Barbell back squat to box,3.5
1,Sled Push,4.2
1,Treadmill running,3.5
1,Push-press,4.2
2,Smith machine back squat,2.0
2,Depth jump box jump,4.3
2,Lying groin stretch with band,2.3
2,Barbell glute bridge,4.8
2,Bear crawl sled drag,1.0
2,High knees,2.5
2,Clean and jerk,3.6
3,Groiner,4.0
3,Jumping knee up-down,5.0
3,Pass-through stretch with band,1.5
3,Barbell Hip Thrust,1.2
3,Sled Push,2.6
3,Shadow boxing,4.1
3,Power snatch-,1.7
4,Wall sit,2.4
4,Dumbbell lateral hop,3.3
4,Alternating standing knee-pull stretch,1.7
4,Dumbbell floor press,1.9
4,Sled Push,1.0
4,Elliptical trainer,2.9
4,Clean and jerk,1.6
5,Machine Triceps Extension - Gethin Variation,3.8
5,Jump Squat,1.8
5,Child's pose,2.8
5,Dumbbell floor press,2.3
5,Bear crawl sled drag,3.6
5,Stairmaster,3.3
5,Behind-the-head push-press,2.9
6,Palms-down wrist curl over bench,2.8
6,Southpaw sprawl,1.8
6,Alternating lunge jump,2.8
6,Board bench press,3.7
6,Bear crawl sled drag,3.7
6,Stationary bike,1.6
6,Push-press,4.7
7,Dumbbell V-Sit Cross Jab,3.8
7,Jump Squat,1.3
7,Crab single-arm reach,3.4
7,Barbell back squat to box,1.8
7,Bear crawl sled drag,3.1
7,Stationary bike,1.2
7,Push-press,2.5
8,Vertical jump,1.5
8,Medicine ball ninja,3.6
8,Single-leg lying cross-over stretch,2.8
8,Speed Box Squat,3.3
8,Tire flip,2.9
8,Plate push,1.4
8,Behind-the-head push-press,2.8
9,TBS High-Bar Back Squat,1.7
9,Lateral hop,1.3
9,Lying glute stretch,1.3
9,Barbell deficit deadlift,4.6
9,Bear crawl sled drag,4.0
9,Burpee,2.3
9,Power snatch-,4.9
10,Otis-Up,2.3
10,Depth jump box jump,4.4
10,Piriformis SMR,1.2
10,Board bench press,2.2
10,Tire flip,3.6
10,Sled push-,2.8
10,Clean and jerk,2.7
11,Wall walk,3.9
11,Medicine ball ninja,4.0
11,Quadriceps SMR,2.3
11,Glute Ham Raise,4.6
11,Dumbbell farmer's walk,4.2
11,Stair climber,2.0
11,Push-press,2.7
12,Seated Calf Raise,3.8
12,90-degree jump squat,1.3
12,Superman,3.0
12,Sumo deadlift,2.6
12,Sled Push,3.3
12,Bear crawl fire feet,3.5
12,Power snatch-,4.1
13,Hollow-body abduction,1.7
13,Jumping knee up-down,4.6
13,Alternating standing glute stretch,3.5
13,Rack pull,2.0
13,Sled Push,1.6
13,Rower,4.4
13,Behind-the-head push-press,4.5
14,Weighted Sit-Ups - With Bands,1.6
14,Side-to-side box skip,4.3
14,Iliotibial band SMR,4.0
14,Barbell glute bridge,3.1
14,Dumbbell farmer's walk,4.9
14,Bear crawl fire feet,2.2
14,Push-jerk,4.1
15,Leg Extensions - Gethin Variation,4.0
15,Sledgehammer swing,4.6
15,Bar shoulder extension stretch,3.7
15,Speed Box Squat,4.2
15,Dumbbell farmer's walk,4.6
15,Plate push,3.9
15,Power snatch-,2.8
16,ACFT Medicine ball overhead power throw,1.9
16,Jumping jack-,4.4
16,Lying glute stretch,4.6
16,Barbell glute bridge,4.3
16,Sled Push,1.8
16,Shadow boxing,3.5
16,Power snatch-,1.1
17,UP Cable Face Pull,4.1
17,Side-to-side box skip,1.2
17,Lying hamstring stretch with band,2.7
17,Board bench press,1.1
17,Tire flip,3.3
17,Elliptical trainer,3.5
17,Power snatch-,1.3
18,Decline bar press sit-up,3.5
18,Box jump,3.5
18,Piriformis SMR,1.3
18,Sumo deadlift,3.4
18,Sled Push,2.2
18,Stair climber,1.3
18,Power snatch-,3.4
19,Dumbbell Bulgarian split squat,3.8
19,Sledgehammer swing,1.1
19,Standing side bend stretch,1.0
19,Board bench press,4.8
19,Tire flip,2.2
19,Treadmill jogging,3.1
19,Push-jerk,3.8
20,Pallof press,2.4
20,Depth jump box jump,2.3
20,Exercise ball chest stretch,1.3
20,Barbell back squat to box,1.0
20,Sled Push,1.0
20,Treadmill running,2.0
20,Push-jerk,4.4
21,Standing dumbbell upright row,2.5
21,Box Jump (Multiple Response),4.3
21,Toe Touchers,3.1
21,Board bench press,4.7
21,Sled Push,2.3
21,Jumping Jack,4.6
21,Power snatch-,2.1
22,Kettlebell upright row,3.5
22,Dumbbell lateral hop to sprint,3.7
22,Standing hip circle,1.9
22,Sumo deadlift,2.4
22,Bear crawl sled drag,1.1
22,Sled push-,2.2
22,Push-press,2.7
23,Behind-the-head skullcrusher,4.7
23,Box jump,2.4
23,Single-leg lying cross-over stretch,3.0
23,Sumo deadlift,1.5
23,Dumbbell farmer's walk,2.8
23,Bear crawl fire feet,2.7
23,Push-press,4.4
24,Ball Hamstring Hat Trick,3.6
24,Medicine ball ninja,4.1
24,Calf SMR,3.1
24,Speed Box Squat,3.0
24,Bear crawl sled drag,2.1
24,High knees,3.7
24,Push-jerk,2.6
25,Single-arm cable push-down,4.9
25,Gorilla squat,4.2
25,Lying glute stretch,3.6
25,Speed Box Squat,1.5
25,Tire flip,2.8
25,Jumping rope,2.7
25,Push-jerk,2.4
26,Band upright row,1.7
26,Jumping jack-,1.6
26,Bar shoulder extension stretch,4.4
26,Sumo deadlift,3.6
26,Dumbbell farmer's walk,4.3
26,Sled push-,2.5
26,Clean and jerk,1.7
27,AM Upright Row,1.4
27,Scissors Jump,2.8
27,Brachialis SMR,1.5
27,Speed Box Squat,1.9
27,Bear crawl sled drag,2.0
27,Treadmill running,3.3
27,Push-press,2.1
28,Decline Push-Up,1.2
28,Pop squat,2.2
28,Alternating lunge jump,4.5
28,Dumbbell floor press,1.3
28,Dumbbell farmer's walk,1.8
28,Shadow boxing,4.0
28,Push-jerk,2.2
29,30 Spider Crawl,4.6
29,Gorilla squat,2.8
29,One Handed Hang,1.0
29,Rack pull,2.2
29,Dumbbell farmer's walk,1.1
29,Shadow boxing,1.7
29,Clean and jerk,1.6
30,Leverage High Row,3.7
30,Single-cone sprint drill,3.4
30,One Handed Hang,1.6
30,Barbell glute bridge,1.9
30,Dumbbell farmer's walk,1.2
30,Stairmaster,3.8
30,Clean and jerk,3.6
31,Medicine ball half moon,1.1
31,Bench skip,3.0
31,Lower back SMR,2.3
31,Barbell deficit deadlift,2.4
31,Sled Push,2.6
31,Stairmaster,4.2
31,Power snatch-,3.3
32,Jump to pull-up,3.5
32,Carioca quick step,2.3
32,Alternating standing glute stretch,3.8
32,Barbell back squat to box,1.8
32,Bear crawl sled drag,1.3
32,Treadmill walking,4.0
32,Push-press,4.6
33,Kettlebell sumo deadlift high pull,3.6
33,Southpaw sprawl,2.5
33,Lying glute stretch,3.9
33,Dumbbell floor press,1.5
33,Tire flip,4.0
33,Treadmill jogging,3.9
33,Power snatch-,1.5
34,Dead bug reach,4.5
34,Dumbbell jump squat,2.3
34,Calf SMR,1.9
34,Sumo deadlift,2.8
34,Tire flip,3.3
34,Plate push,3.9
34,Push-jerk,4.4
35,Incline dumbbell reverse fly,3.0
35,Skip,3.8
35,Brachialis SMR,2.6
35,Rack pull,1.4
35,Tire flip,4.2
35,Stairmaster,3.4
35,Behind-the-head push-press,3.2
36,Barbell bent-over row,1.8
36,Plyo push-up,3.3
36,One Handed Hang,1.2
36,Barbell back squat to box,4.6
36,Sled Push,3.1
36,Treadmill running,4.9
36,Behind-the-head push-press,4.8
37,Cable seated row,1.4
37,Jump Squat,3.7
37,One Handed Hang,3.0
37,Barbell deficit deadlift,4.5
37,Bear crawl sled drag,2.5
37,Treadmill jogging,4.9
37,Clean and jerk,3.3
38,Cable overhead triceps extension,4.4
38,Bench skip,4.0
38,Half bird dog,1.4
38,Barbell back squat to box,4.1
38,Dumbbell farmer's walk,2.1
38,Shuttle run,3.4
38,Push-jerk,4.3
39,Knees tucked crunch,2.2
39,Wall ball toss,5.0
39,Adductor SMR,1.2
39,Barbell deficit deadlift,3.6
39,Tire flip,3.3
39,Burpee,4.3
39,Behind-the-head push-press,4.4
40,Dumbbell squat,2.8
40,90-degree jump squat,3.9
40,Exercise ball chest stretch,3.9
40,Barbell back squat to box,2.2
40,Dumbbell farmer's walk,3.7
40,Stairmaster,4.7
40,Power snatch-,3.9
41,Seated Dumbbell Press,1.8
41,Lateral cone hop,4.4
41,Crab single-arm reach,1.9
41,Barbell back squat to box,3.9
41,Sled Push,4.3
41,Jumping rope,3.4
41,Power snatch-,2.1
42,Clock push-up,2.6
42,Gorilla squat,2.9
42,Shoulder T,4.8
42,Barbell deficit deadlift,2.7
42,Dumbbell farmer's walk,2.1
42,Shadow boxing,2.8
42,Push-press,3.3
43,TBS Dip,5.0
43,Burpee tuck jump,2.1
43,Standing side bend stretch,2.7
43,Barbell Hip Thrust,1.4
43,Tire flip,3.0
43,Jumping rope,2.1
43,Push-press,2.2
44,Pull-up - Gethin Variation,2.6
44,Medicine ball scoop throw,1.0
44,Rhomboids SMR,3.3
44,Rack pull,2.4
44,Tire flip,2.0
44,High knees,3.4
44,Clean and jerk,2.7
45,30 Shoulder Tap,1.1
45,Lateral hop,3.6
45,Alternating standing knee-pull stretch,2.2
45,Board bench press,3.6
45,Dumbbell farmer's walk,3.8
45,Treadmill jogging,2.2
45,Push-jerk,3.8
46,Single-leg box squat,1.7
46,Dumbbell jump squat,2.5
46,Arm circle,3.8
46,Barbell back squat to box,2.8
46,Sled Push,4.6
46,Treadmill jogging,5.0
46,Power snatch-,3.6
47,Bodyweight squat,3.5
47,Depth jump box jump,1.5
47,Lower back SMR,4.9
47,Good Morning,2.7
47,Dumbbell farmer's walk,4.0
47,Shuttle run,1.7
47,Push-press,5.0
48,Dumbbell Lying Rear Lateral Raise,2.4
48,Over bench jump,4.0
48,Reach-roll-lift combo,1.3
48,Good Morning,1.1
48,Tire flip,2.3
48,Treadmill running,1.5
48,Behind-the-head push-press,3.0
49,Cable rope preacher hammer curl,2.9
49,Depth jump box jump,2.7
